0,1,2,3,4
5.0,"January 16, 2021",This product is truly,"This product is truly wonderful I love it it's very very great and cleans so well , which I love and they are all just wonderful it's a yes it's a yes yes yes totally recommend will not regret it and it's amazing. You won't regret buying it!",rocioc29
5.0,"January 16, 2021",I love these wipes.,I love these wipes. They are an absolute staple for any house. They are super effective and do their job very well. I wish the packaging was a little bit more convenient as sometimes they get bunched up. Will definitely buy again.,mwllr
1.0,"January 15, 2021",No title,Damage,Daisy
5.0,"January 15, 2021",No title,best product for disinfecting and cleaning,Sandi
5.0,"January 15, 2021",Great product,I keep this in stock so I was prepared when covid 19 happened. Great sanitizer and price is just right.,pickanese
2.0,"January 15, 2021",Horrible when shipped,Wipes were leaking and the packaging was damaged.,Angelo
3.0,"January 14, 2021",No title,Everything was ok minus the fact that the package was already open .,yvette
5.0,"January 14, 2021","Superior, for our circumstances.","Delivered quick, priced as should be, No hassles, no contamination.",Susan
5.0,"January 14, 2021",Use these on everything!,Use these on everything! Wiping down all surfaces in my home and my car! It really does it all!,mycuratedclosets
5.0,"January 13, 2021",These wipes are exactly,These wipes are exactly what you need during a pandemic. I trust these wipes and they have a good smell.,audreywhoa
5.0,"January 12, 2021",No title,Arrived the next day! Great quality and you will receive every that is shown.,Taneesha
5.0,"January 12, 2021",These disinfecting wipes are,These disinfecting wipes are perfect for kids to clean their desk as the end of the day. They kill 99.9% viruses and bacteria. Love the fresh smell as we leave daily.,kenj3
3.0,"January 19, 2021",These are good at,These are good at disinfecting but I can't stand the smell. It's so strong! They're also messy when you get to the bottom of the container because those wipes are soaked in the solution and drip everywhere. I don't like getting that stuff on my hands. I much prefer using the spray kind.,sexypea48
5.0,"January 19, 2021",These work great I,These work great I use them a lot to clean my bathroom they leave a great shine but the bleach smell is so strong in them,ninasbeautyfl
3.0,"January 12, 2021",These are a great,These are a great product. Good to use for just about anything and leave a nice fresh sent behind.,brookea60
5.0,"January 12, 2021",No title,Who can go wrong with Clorox wipes right now during the pandemic? I have been lucky enough to be able to stay stocked with wipes so that I can keep my family safe.,Sophia
4.0,"January 11, 2021",Works great and smells,Works great and smells clean. I buy multiples to keep in the house/car/work etc. Good disinfectant that I completely trust.,owingslr
3.0,"January 11, 2021",We use these at,We use these at work constantly. I don't feel like many people realize though that the chemicals take about 90 seconds before it works,rachelchloe
5.0,"January 11, 2021",Every single time we,"Every single time we see them on the shelves we buy them. In the life of covid, carrying the wipes around make me feel cleaner in public. I can focus on disinfecting surfaces myself to protect myself and my family in social situations.",WalmartCustomer
5.0,"January 11, 2021",These are my favorite,"These are my favorite quick and easy product to always have on hand. At home I love to use them for wiping down the sides, back and seat of my child's high chair and door handles. I always have some in the car for sanitizing carts before walking into a store.",heatherm401
5.0,"January 9, 2021",Nice to wipe things,Nice to wipe things down. Quick and easy to use. I grab a couple to wipe down door handles around the house fairly frequently to prevent getting Covid.,tracyb68
5.0,"January 8, 2021",I love the convenience,I love the convenience of a disinfectant wipe! It just helps keeping things clean after a long day a little easier. I love wiping down my kitchen and bathroom counters with these wipes in between cleanings.,1aurenmac
5.0,"January 8, 2021",Product needs to be sold to Everyone,"Great product, badly needed for general population not just health care facilities, business who are overpricing this product for more money",Charles
4.0,"January 8, 2021","These work great, have","These work great, have plenty of product on them & don't dry out as easily. This particular scent is good & strong & they clean so well.",shevonh
5.0,"January 7, 2021",My favorite go to,"My favorite go to cleaning product because I can use on almost every surface! They don't have a nasty smell and get things super clean and germ free. I can use in my kitchen counter, sinks around bathroom tubs, on the toilets, on walls, doors; overall they are life savers you don't have to spray something that's dangerous for pets or children but you can clean every surface and it looks sparkly clean.",heyitsbritt
5.0,"January 7, 2021",I feel good that,I feel good that I'm keeping my house clean with these on hand. I question if knock offs have the same claims so try to stick to Clorox if I can.,mms526
4.0,"January 7, 2021",Always great. I love,Always great. I love how clean everything feels after using these. I don't always love how chemical it smells,aliciamariedb7cf087
5.0,"January 6, 2021",Whoever knew that three,"Whoever knew that three year of 2019 would be the year of Clorox wipes, sanitizer and toilet paper. When I find these in stores nowadays it's like striking gold. I love these just to give everything a solid clean. You know these do the job and get rid of the germs.",megvish
5.0,"January 6, 2021",Lucky to Find,"Hard to find item, but worth the wait and search.",stickvacuumuser
5.0,"January 3, 2021","What can I say,","What can I say, when there's a potentially killer virus looming you go with the trusted name. And when you're lazy you go with wipes. These don't dry out in the canister and they hold the product instead of the other drippy brands. Luckily I was on auto ship before the hoarding started so my stash lasted a long time. This also doesn't dry out your hands.",annemarieok
4.0,"January 3, 2021",This is an average,This is an average disinfecting wipe. Thin and not very durable. I buy the off brand to save myself a bit.,kimberlyn52
5.0,"January 2, 2021",Great product,Awesome shipping! Great product,Danyale
5.0,"January 12, 2021",These are sometimes hard,"These are sometimes hard to find being that we are still pushing through this pandemic. When I do find them, I am happy because these are very efficient and easy to use. I can wipe down counters and doorknobs etc and throw away! The smell is clean, not overwhelming. Thanks Clorox!",lizh217
5.0,"January 12, 2021",Easy to grab one,Easy to grab one out of the container and quickly wipe things down. These get the job done.,kristahd17c
3.0,"January 12, 2021","I love these wipes,","I love these wipes, I use them to wipe down almost everything surface wise in my kitchen and on door knobs, the bathroom sinks, i even have a travel sized pack in my purse because, ya know, coronavirus! And they smell okay, much better than the plain ones.",heathers27
4.0,"January 1, 2021",Super awesome@to have around,Super awesome@to have around the house especially how this year has been. My only con is that one wipe doesn't get you that far but I always buy these when they're available at the store.,amandab439
